timestamp,method,num_images,valid_pixels,pixel_accuracy,foreground_iou,dice,mean_inference_time_sec
2026-06-30 15:22:00,canny,200,33706905,0.420923,0.310849,0.474271,0.006251
2026-06-30 15:22:01,meanshift,200,33706905,0.606341,0.269467,0.424535,0.966660
2026-06-30 15:22:02,slic,200,33706905,0.571569,0.268363,0.423165,0.246934
2026-06-30 15:22:02,fcn32s,200,33706905,0.767732,0.201125,0.334894,
2026-06-30 15:22:03,fcn8s,200,33706905,0.799148,0.319581,0.484368,
