timestamp,method,image_id,runtime_sec,image_path,output_path
2026-06-30 14:55:08,slic,2007_000529,0.240847,data/processed/images/val/2007_000529.jpg,results/pred_binary/slic/2007_000529.png
2026-06-30 14:55:08,canny,2007_000559,0.005378,data/processed/images/val/2007_000559.jpg,results/pred_binary/canny/2007_000559.png
2026-06-30 14:55:09,meanshift,2007_000559,0.912660,data/processed/images/val/2007_000559.jpg,results/pred_binary/meanshift/2007_000559.png
2026-06-30 14:55:09,slic,2007_000559,0.253581,data/processed/images/val/2007_000559.jpg,results/pred_binary/slic/2007_000559.png
2026-06-30 14:55:09,canny,2007_000572,0.005009,data/processed/images/val/2007_000572.jpg,results/pred_binary/canny/2007_000572.png
2026-06-30 14:55:10,meanshift,2007_000572,0.828004,data/processed/images/val/2007_000572.jpg,results/pred_binary/meanshift/2007_000572.png
2026-06-30 14:55:10,slic,2007_000572,0.211298,data/processed/images/val/2007_000572.jpg,results/pred_binary/slic/2007_000572.png
2026-06-30 14:55:10,canny,2007_000629,0.004084,data/processed/images/val/2007_000629.jpg,results/pred_binary/canny/2007_000629.png
2026-06-30 14:55:11,meanshift,2007_000629,0.975971,data/processed/images/val/2007_000629.jpg,results/pred_binary/meanshift/2007_000629.png
2026-06-30 14:55:11,slic,2007_000629,0.135054,data/processed/images/val/2007_000629.jpg,results/pred_binary/slic/2007_000629.png
2026-06-30 14:55:11,canny,2007_000636,0.007546,data/processed/images/val/2007_000636.jpg,results/pred_binary/canny/2007_000636.png
2026-06-30 14:55:12,meanshift,2007_000636,1.088714,data/processed/images/val/2007_000636.jpg,results/pred_binary/meanshift/2007_000636.png
2026-06-30 14:55:12,slic,2007_000636,0.203144,data/processed/images/val/2007_000636.jpg,results/pred_binary/slic/2007_000636.png
2026-06-30 14:55:12,canny,2007_000661,0.005583,data/processed/images/val/2007_000661.jpg,results/pred_binary/canny/2007_000661.png
2026-06-30 14:55:13,meanshift,2007_000661,0.696490,data/processed/images/val/2007_000661.jpg,results/pred_binary/meanshift/2007_000661.png
2026-06-30 14:55:13,slic,2007_000661,0.253460,data/processed/images/val/2007_000661.jpg,results/pred_binary/slic/2007_000661.png
2026-06-30 14:55:13,canny,2007_000663,0.006598,data/processed/images/val/2007_000663.jpg,results/pred_binary/canny/2007_000663.png
2026-06-30 14:55:14,meanshift,2007_000663,1.168509,data/processed/images/val/2007_000663.jpg,results/pred_binary/meanshift/2007_000663.png
2026-06-30 14:55:15,slic,2007_000663,0.300082,data/processed/images/val/2007_000663.jpg,results/pred_binary/slic/2007_000663.png
2026-06-30 14:55:15,canny,2007_000676,0.005794,data/processed/images/val/2007_000676.jpg,results/pred_binary/canny/2007_000676.png
2026-06-30 14:55:16,meanshift,2007_000676,1.402196,data/processed/images/val/2007_000676.jpg,results/pred_binary/meanshift/2007_000676.png
