timestamp,model_name,model_path,image_size,num_classes,loss,pixel_accuracy,mean_iou
2026-06-29 20:11:11,fcn32s,checkpoints/fcn32s_21class/best_model.h5,224,21,1.196442,0.739618,0.088550
2026-06-29 20:11:30,fcn8s,checkpoints/fcn8s_21class/best_model.h5,224,21,0.997126,0.749565,0.117367
